cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [======>..........................................................] 5/40   Step: 416ms | Tot: 1s835ms | Loss: 1.388 | Acc: 70.078% (897/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s252ms | Loss: 1.375 | Acc: 70.312% (1080/1536)              
 [=========>.......................................................] 7/40   Step: 417ms | Tot: 2s669ms | Loss: 1.429 | Acc: 70.145% (1257/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s87ms | Loss: 1.424 | Acc: 70.166% (1437/2048)              
 [=============>...................................................] 9/40   Step: 417ms | Tot: 3s504ms | Loss: 1.406 | Acc: 70.616% (1627/2304)              
 [==============>..................................................] 10/40   Step: 520ms | Tot: 4s25ms | Loss: 1.405 | Acc: 70.898% (1815/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s446ms | Loss: 1.404 | Acc: 71.094% (2002/2816)              
 [=================>...............................................] 12/40   Step: 422ms | Tot: 4s868ms | Loss: 1.408 | Acc: 70.996% (2181/3072)              
 [===================>.............................................] 13/40   Step: 417ms | Tot: 5s285ms | Loss: 1.407 | Acc: 71.004% (2363/3328)              
 [=====================>...........................................] 14/40   Step: 417ms | Tot: 5s703ms | Loss: 1.409 | Acc: 70.703% (2534/3584)              
 [======================>..........................................] 15/40   Step: 519ms | Tot: 6s223ms | Loss: 1.391 | Acc: 70.781% (2718/3840)              
 [========================>........................................] 16/40   Step: 417ms | Tot: 6s641ms | Loss: 1.386 | Acc: 70.679% (2895/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 7s57ms | Loss: 1.397 | Acc: 70.657% (3075/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s474ms | Loss: 1.400 | Acc: 70.508% (3249/4608)              
 [=============================>...................................] 19/40   Step: 417ms | Tot: 7s892ms | Loss: 1.397 | Acc: 70.312% (3420/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s309ms | Loss: 1.383 | Acc: 70.410% (3605/5120)              
 [================================>................................] 21/40   Step: 523ms | Tot: 8s832ms | Loss: 1.379 | Acc: 70.312% (3780/5376)              
 [==================================>..............................] 22/40   Step: 434ms | Tot: 9s266ms | Loss: 1.374 | Acc: 70.384% (3964/5632)              
 [===================================>.............................] 23/40   Step: 416ms | Tot: 9s683ms | Loss: 1.384 | Acc: 70.329% (4141/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s99ms | Loss: 1.393 | Acc: 70.199% (4313/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s515ms | Loss: 1.393 | Acc: 70.125% (4488/6400)              
 [========================================>........................] 26/40   Step: 517ms | Tot: 11s33ms | Loss: 1.390 | Acc: 70.042% (4662/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s449ms | Loss: 1.393 | Acc: 70.038% (4841/6912)              
 [===========================================>.....................] 28/40   Step: 416ms | Tot: 11s866ms | Loss: 1.384 | Acc: 70.173% (5030/7168)              
 [=============================================>...................] 29/40   Step: 418ms | Tot: 12s285ms | Loss: 1.382 | Acc: 70.205% (5212/7424)              
 [===============================================>.................] 30/40   Step: 416ms | Tot: 12s701ms | Loss: 1.376 | Acc: 70.339% (5402/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s116ms | Loss: 1.380 | Acc: 70.262% (5576/7936)              
 [==================================================>..............] 32/40   Step: 521ms | Tot: 13s638ms | Loss: 1.379 | Acc: 70.325% (5761/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 14s54ms | Loss: 1.375 | Acc: 70.289% (5938/8448)              
 [=====================================================>...........] 34/40   Step: 415ms | Tot: 14s470ms | Loss: 1.384 | Acc: 70.186% (6109/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s886ms | Loss: 1.384 | Acc: 70.246% (6294/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s262ms | Loss: 1.381 | Acc: 70.345% (6483/9216)              
 [==========================================================>......] 37/40   Step: 475ms | Tot: 15s738ms | Loss: 1.384 | Acc: 70.344% (6663/9472)              
 [============================================================>....] 38/40   Step: 372ms | Tot: 16s110ms | Loss: 1.379 | Acc: 70.426% (6851/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s483ms | Loss: 1.381 | Acc: 70.443% (7033/9984)              
 [===============================================================>.] 40/40   Step: 372ms | Tot: 16s855ms | Loss: 1.382 | Acc: 70.440% (7044/10000)

Epoch: 94
 [>................................................................] 1/79   Step: 1s945ms | Tot: 0ms | Loss: 0.016 | Acc: 99.609% (255/256)              
 [>................................................................] 2/79   Step: 1s138ms | Tot: 1s138ms | Loss: 0.011 | Acc: 99.805% (511/512)              
 [=>...............................................................] 3/79   Step: 968ms | Tot: 2s106ms | Loss: 0.012 | Acc: 99.870% (767/768)              
 [==>..............................................................] 4/79   Step: 968ms | Tot: 3s75ms | Loss: 0.012 | Acc: 99.902% (1023/1024)              
 [===>.............................................................] 5/79   Step: 969ms | Tot: 4s44ms | Loss: 0.011 | Acc: 99.922% (1279/1280)              
 [====>............................................................] 6/79   Step: 968ms | Tot: 5s12ms | Loss: 0.011 | Acc: 99.935% (1535/1536)              
 [====>............................................................] 7/79   Step: 1s68ms | Tot: 6s81ms | Loss: 0.011 | Acc: 99.944% (1791/1792)              
 [=====>...........................................................] 8/79   Step: 967ms | Tot: 7s48ms | Loss: 0.011 | Acc: 99.951% (2047/2048)              
 [======>..........................................................] 9/79   Step: 966ms | Tot: 8s14ms | Loss: 0.011 | Acc: 99.957% (2303/2304)              
 [=======>.........................................................] 10/79   Step: 963ms | Tot: 8s977ms | Loss: 0.012 | Acc: 99.922% (2558/2560)              
 [========>........................................................] 11/79   Step: 969ms | Tot: 9s947ms | Loss: 0.012 | Acc: 99.929% (2814/2816)              
 [=========>.......................................................] 12/79   Step: 1s80ms | Tot: 11s28ms | Loss: 0.012 | Acc: 99.935% (3070/3072)              
 [=========>.......................................................] 13/79   Step: 964ms | Tot: 11s992ms | Loss: 0.013 | Acc: 99.910% (3325/3328)              
 [==========>......................................................] 14/79   Step: 966ms | Tot: 12s958ms | Loss: 0.014 | Acc: 99.888% (3580/3584)              
 [===========>.....................................................] 15/79   Step: 963ms | Tot: 13s921ms | Loss: 0.014 | Acc: 99.896% (3836/3840)              
 [============>....................................................] 16/79   Step: 964ms | Tot: 14s885ms | Loss: 0.014 | Acc: 99.854% (4090/4096)              
 [=============>...................................................] 17/79   Step: 1s63ms | Tot: 15s949ms | Loss: 0.015 | Acc: 99.839% (4345/4352)              
 [=============>...................................................] 18/79   Step: 967ms | Tot: 16s916ms | Loss: 0.015 | Acc: 99.848% (4601/4608)              
 [==============>..................................................] 19/79   Step: 965ms | Tot: 17s881ms | Loss: 0.015 | Acc: 99.856% (4857/4864)              
 [===============>.................................................] 20/79   Step: 963ms | Tot: 18s845ms | Loss: 0.016 | Acc: 99.844% (5112/5120)              
 [================>................................................] 21/79   Step: 1s68ms | Tot: 19s913ms | Loss: 0.016 | Acc: 99.851% (5368/5376)              
 [=================>...............................................] 22/79   Step: 981ms | Tot: 20s894ms | Loss: 0.016 | Acc: 99.858% (5624/5632)              
 [==================>..............................................] 23/79   Step: 964ms | Tot: 21s859ms | Loss: 0.016 | Acc: 99.830% (5878/5888)              
 [==================>..............................................] 24/79   Step: 966ms | Tot: 22s826ms | Loss: 0.016 | Acc: 99.821% (6133/6144)              
